g_values_FGR,gam_upper_FGR_reduced_virtual,gam_lower_FGR_reduced_virtual
2150,0.9886842706013694,0.9338119787167937
2160,0.9727803455390085,0.9225543621725583
2170,0.9576136682897947,0.9116653615559853
2180,0.943134540320391,0.901122231796695
2190,0.9292966287679432,0.8909038271020779
2200,0.916056762091909,0.8809904947837583
2210,0.9033747357941053,0.8713639751740636
2220,0.8912131279126203,0.8620073073725727
2230,0.8795371239855597,0.8529047405659219
2240,0.8683143511729895,0.8440416506678576
2250,0.8575147212200432,0.8354044620311595
2260,0.8471102819405505,0.8269805739882418
2270,0.8370750768987244,0.8187582919830059
2280,0.8273850129661593,0.8107267630627131
2290,0.8180177354325527,0.8028759155052415
2300,0.8089525103509689,0.7951964023639707
2310,0.8001701138020387,0.7876795487196829
2320,0.7916527277660441,0.7803173024361794
2330,0.783383842297314,0.7731021882237711
2340,0.7753481637015713,0.7660272648223181
2350,0.7675315284237818,0.7590860851230596
2360,0.7599208223615247,0.7522726590560445
2370,0.7525039053268351,0.7455814190774671
2380,0.7452695403878186,0.7390071880986884
2390,0.7382073278299568,0.7325451497060298
2400,0.7313076434859244,0.7261908205276807
2410,0.7245615811917676,0.719940024611101
2420,0.7179608991364627,0.7137888696812215
2430,0.7114979698810845,0.7077337251564653
2440,0.7051657338330346,0.7017712018061415
2450,0.6989576559699539,0.6958981329390894
2460,0.6928676856170506,0.6901115570195666
2470,0.6868902190905571,0.6844087016122669
2480,0.6810200650288761,0.6787869685640308
2490,0.675252412241639,0.6732439203352505
2500,0.6695827999153879,0.6677772673992042
2510,0.6640070900228411,0.6623848566325292
2520,0.6585214417907462,0.657064660624834
2530,0.6531222880891047,0.6518147678399736
2540,0.6478063136120904,0.646633373565854
2550,0.6425704347282508,0.6415187715937302
2560,0.637411780884592,0.6364693465718706
2570,0.6323276774558612,0.6314835669821433
2580,0.6273156299368176,0.6265599786915845
2590,0.6223733093814456,0.6216971990343017
2600,0.6174985389989778,0.6168939113821743
2610,0.6126892818222344,0.61214886016576
2620,0.6079436293691448,0.607460846309554
2630,0.6032597912234291,0.6028287230483573
2640,0.5986360854652576,0.5982513920939331
2650,0.5940709298873047,0.5937278001234103
2660,0.5895628339359607,0.5892569355630336
2670,0.5851103913215786,0.5848378256428478
2680,0.5807122732455079,0.5804695336997697
2690,0.5763672221953404,0.5761511567082505
2700,0.5720740462632204,0.5718818230193314
2710,0.5678316139453256,0.567660690290429
2720,0.5636388493836585,0.5634869435895673
2730,0.5594947280141531,0.5593597936591004
2740,0.5553982725877571,0.5552784753251544
2750,0.551348549533675,0.5512422460401655
2760,0.5473446656362752,0.5472503845469066
2770,0.5433857649993692,0.5433021896533791
2780,0.539471026273584,0.5393969791088119
2790,0.5355996601244742,0.5355340885718579
2800,0.531770906920757,0.5317128706628054
2810,0.5279840346237269,0.5279326940923534
2820,0.5242383368604031,0.5241929428601151
2830,0.5205331311643998,0.5204930155166224
2840,0.5168677573698092,0.516832324483146
2850,0.5132415761446035,0.5132102954241397
2860,0.5096539676511975,0.5096263666675889
2870,0.5061043303228289,0.5060799886689489
2880,0.5025920797454005,0.5025706235147596
2890,0.4991166476352897,0.4990977444623657
2900,0.4956774809044625,0.4956608355125029
2910,0.4922740408049713,0.49225939101179916
2920,0.48890580214560986,0.488892915282515
2930,0.4855722525741354,0.48556092227709174
2940,0.48227289191905076,0.4822629352553031
2950,0.4790072315854693,0.4789984864820037
2960,0.47577479400009076,0.47576711694366886
2970,0.4725751121007442,0.472568376082069
2980,0.46940772886639115,0.4694018215436005
2990,0.4662721968838353,0.4662670189429133
3000,0.46316807794774806,0.4631635416396196
