L,L_ext,gam1s,gam2s,PLgam1,PLgam2,gam1_inf,gam2_inf
nan,86.3819095477387,nan,nan,137.95656144403065,97.28858939918612,nan,nan
nan,87.33668341708542,nan,nan,137.9582130950478,97.2896423216491,nan,nan
nan,88.29145728643216,nan,nan,137.95981145400833,97.29066127058924,nan,nan
nan,89.2462311557789,nan,nan,137.96135878918497,97.2916476920235,nan,nan
nan,90.20100502512562,nan,nan,137.96285724944147,97.29260295584591,nan,nan
nan,91.15577889447236,nan,nan,137.96430887169709,97.29352836058628,nan,nan
nan,92.1105527638191,nan,nan,137.96571558785254,97.29442513782537,nan,nan
nan,93.06532663316582,nan,nan,137.96707923122096,97.29529445629468,nan,nan
nan,94.02010050251256,nan,nan,137.96840154250407,97.29613742568627,nan,nan
nan,94.9748743718593,nan,nan,137.96968417535018,97.29695510019582,nan,nan
nan,95.92964824120604,nan,nan,137.9709287015265,97.29774848182015,nan,nan
nan,96.88442211055276,nan,nan,137.97213661573682,97.29851852342831,nan,nan
nan,97.8391959798995,nan,nan,137.97330934011143,97.29926613162402,nan,nan
nan,98.79396984924624,nan,nan,137.97444822839486,97.2999921694153,nan,nan
nan,99.74874371859296,nan,nan,137.97555456985455,97.30069745870615,nan,nan
nan,100.7035175879397,nan,nan,137.97662959293103,97.30138278262366,nan,nan
nan,101.65829145728644,nan,nan,137.97767446864952,97.30204888769283,nan,nan
nan,102.61306532663316,nan,nan,137.97869031381038,97.30269648587044,nan,nan
nan,103.5678391959799,nan,nan,137.97967819397425,97.30332625644816,nan,nan
nan,104.52261306532664,nan,nan,137.9806391262578,97.30393884783476,nan,nan
nan,105.47738693467338,nan,nan,137.9815740819527,97.30453487922563,nan,nan
nan,106.4321608040201,nan,nan,137.98248398898076,97.30511494216819,nan,nan
nan,107.38693467336684,nan,nan,137.9833697341976,97.30567960203011,nan,nan
nan,108.34170854271358,nan,nan,137.98423216555412,97.3062293993775,nan,nan
nan,109.2964824120603,nan,nan,137.9850720941268,97.30676485126914,nan,nan
nan,110.25125628140704,nan,nan,137.98589029602527,97.30728645247254,nan,nan
nan,111.20603015075378,nan,nan,137.98668751418595,97.30779467660739,nan,nan
nan,112.1608040201005,nan,nan,137.98746446005893,97.30828997722094,nan,nan
nan,113.11557788944724,nan,nan,137.988221815196,97.30877278880038,nan,nan
nan,114.07035175879398,nan,nan,137.98896023274568,97.30924352772588,nan,nan
nan,115.0251256281407,nan,nan,137.989680338862,97.30970259316872,nan,nan
nan,115.97989949748744,nan,nan,137.99038273403224,97.31015036793768,nan,nan
nan,116.93467336683418,nan,nan,137.99106799432926,97.31058721927747,nan,nan
nan,117.88944723618091,nan,nan,137.99173667259296,97.31101349962184,nan,nan
nan,118.84422110552764,nan,nan,137.99238929954578,97.31142954730468,nan,nan
nan,119.79899497487438,nan,nan,137.99302638484602,97.31183568723162,nan,nan
nan,120.75376884422111,nan,nan,137.99364841808307,97.31223223151441,nan,nan
nan,121.70854271356784,nan,nan,137.99425586971856,97.31261948007086,nan,nan
nan,122.66331658291458,nan,nan,137.99484919197585,97.31299772119202,nan,nan
nan,123.61809045226131,nan,nan,137.9954288196822,97.3133672320789,nan,nan
nan,124.57286432160804,nan,nan,137.99599517106552,97.31372827935054,nan,nan
nan,125.52763819095478,nan,nan,137.9965486485091,97.31408111952504,nan,nan
nan,126.48241206030151,nan,nan,137.99708963926645,97.31442599947532,nan,nan
nan,127.43718592964825,nan,nan,137.9976185161389,97.31476315686109,nan,nan
nan,128.39195979899498,nan,nan,137.99813563811801,97.31509282053838,nan,nan
nan,129.3467336683417,nan,nan,137.99864135099497,97.31541521094799,nan,nan
nan,130.30150753768845,nan,nan,137.9991359879387,97.31573054048411,nan,nan
nan,131.25628140703517,nan,nan,137.99961987004488,97.31603901384423,nan,nan
nan,132.2110552763819,nan,nan,138.00009330685702,97.31634082836143,nan,nan
nan,133.16582914572865,nan,nan,138.00055659686183,97.31663617432001,nan,nan
nan,134.12060301507537,nan,nan,138.00101002795952,97.31692523525555,nan,nan
nan,135.0753768844221,nan,nan,138.00145387791153,97.31720818824004,nan,nan
nan,136.03015075376885,nan,nan,138.00188841476566,97.31748520415319,nan,nan
nan,136.98492462311557,nan,nan,138.0023138972611,97.3177564479404,nan,nan
nan,137.9396984924623,nan,nan,138.0027305752136,97.31802207885846,nan,nan
nan,138.89447236180905,nan,nan,138.00313868988218,97.31828225070927,nan,nan
nan,139.84924623115577,nan,nan,138.00353847431856,97.31853711206257,nan,nan
nan,140.80402010050253,nan,nan,138.00393015369986,97.31878680646807,nan,nan
nan,141.75879396984925,nan,nan,138.0043139456457,97.31903147265766,nan,nan
nan,142.71356783919597,nan,nan,138.00469006052066,97.31927124473809,nan,nan
nan,143.66834170854273,nan,nan,138.0050587017226,97.31950625237482,nan,nan
nan,144.62311557788945,nan,nan,138.00542006595748,97.3197366209674,nan,nan
nan,145.57788944723617,nan,nan,138.0057743435022,97.31996247181668,nan,nan
nan,146.53266331658293,nan,nan,138.00612171845472,97.32018392228463,nan,nan
nan,147.48743718592965,nan,nan,138.00646236897367,97.32040108594673,nan,nan
nan,148.44221105527637,nan,nan,138.00679646750646,97.32061407273774,nan,nan
nan,149.39698492462313,nan,nan,138.00712418100778,97.32082298909077,nan,nan
nan,150.35175879396985,nan,nan,138.00744567114828,97.32102793807032,nan,nan
nan,151.30653266331657,nan,nan,138.00776109451368,97.32122901949934,nan,nan
nan,152.26130653266333,nan,nan,138.0080706027959,97.32142633008095,nan,nan
nan,153.21608040201005,nan,nan,138.00837434297512,97.32161996351459,nan,nan
nan,154.17085427135677,nan,nan,138.00867245749447,97.3218100106073,nan,nan
nan,155.12562814070353,nan,nan,138.0089650844271,97.32199655938027,nan,nan
nan,156.08040201005025,nan,nan,138.00925235763592,97.32217969517072,nan,nan
nan,157.035175879397,nan,nan,138.00953440692692,97.32235950072955,nan,nan
nan,157.98994974874373,nan,nan,138.0098113581956,97.32253605631479,nan,nan
nan,158.94472361809045,nan,nan,138.0100833335677,97.32270943978122,nan,nan
nan,159.8994974874372,nan,nan,138.01035045153378,97.32287972666617,nan,nan
nan,160.85427135678393,nan,nan,138.0106128270782,97.32304699027185,nan,nan
nan,161.80904522613065,nan,nan,138.010870571803,97.32321130174421,nan,nan
